Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
75	-97.54729	6.521566	-87.7683	-103.73712	-110.060265	0.8468064	-108.14185	-111.07413	1000.0	1000.0	299999	-8.97885	12.369272	2.6159077	-152.12325	-8.979011	12.370205	3.2079482	-154.18147	8.457181	1.8921183	5048.206168174744
76	-97.904465	7.5445285	-86.52487	-105.152054	-79.76318	2.780262	-75.84849	-86.79825	1000.0	1000.0	303999	-7.907447	11.542066	6.131137	-141.2069	-7.9071364	11.54319	7.053301	-140.63322	7.4475822	1.660261	5094.132660150528
77	-87.44544	8.733981	-73.375206	-96.842064	-78.093414	9.220896	-58.24174	-88.00781	1000.0	1000.0	307999	-6.9934006	11.651432	10.449311	-138.85606	-6.993421	11.651787	10.102483	-139.67332	6.5419073	1.6442906	5139.7769775390625
78	-70.19971	0.78605175	-69.4495	-71.519905	-72.28561	1.5549102	-70.04333	-74.59096	1000.0	1000.0	311999	-6.2669654	11.6760435	11.306636	-138.40694	-6.266991	11.674733	13.41371	-145.33167	5.8175	1.6116965	5186.488080263138
79	-72.217865	2.6697714	-67.73669	-74.7854	-78.857895	2.8850834	-72.960686	-82.56145	1000.0	1000.0	315999	-6.454408	11.52591	11.04327	-150.97015	-6.454362	11.526893	14.978888	-148.72127	5.9862003	1.5187415	5232.100259304047
80	-73.59355	5.026767	-65.83389	-79.78629	-111.27496	0.57188916	-110.40878	-111.97936	1000.0	1000.0	319999	-7.010727	11.181065	9.0046	-156.06793	-7.01095	11.181133	13.1339035	-155.6351	6.4949355	1.5420814	5277.713568210602
81	-106.55302	0.7670737	-105.2627	-107.18635	-93.09908	1.7468301	-89.647514	-95.45011	1000.0	1000.0	323999	-7.2965117	10.702704	6.74336	-151.01765	-7.2967167	10.700495	10.183749	-150.25417	6.890276	1.4713507	5322.731919765472
82	-99.171936	3.4849675	-93.16124	-101.67314	-92.7546	2.3773475	-90.01981	-98.56861	1000.0	1000.0	327999	-7.6425414	10.702462	4.7336545	-138.22763	-7.6428556	10.702324	7.8164973	-139.4842	7.3379	1.3405578	5368.091939687729
83	-88.71036	6.3941855	-78.6517	-95.5445	-90.42058	0.23633157	-90.026764	-90.80961	1000.0	1000.0	331999	-7.9256186	10.554951	4.515246	-130.21179	-7.925835	10.553748	6.4745646	-132.40778	7.649046	1.3712057	5413.654657840729
84	-89.49409	3.2721024	-84.580536	-93.66778	-84.89829	2.9279802	-80.39957	-89.788925	1000.0	1000.0	335999	-8.267159	10.19567	2.4548364	-131.97566	-8.267481	10.193905	3.410942	-131.18823	8.0522785	1.2483112	5459.909693479538
