Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
75	200.37244	10.231924	227.89954	176.15387	199.65312	9.916954	213.946	179.08838	45.50575	46.2	299999	75.0726	37.28068	146.22089	-11.744088	75.07241	37.2807	149.77373	-6.768796	-75.3316	2.05313	7069.757490634918
76	202.16637	10.822413	232.60716	179.79474	203.02834	11.489857	221.17995	185.37932	45.840908	46.3	303999	75.03606	37.34803	146.24217	-5.2531176	75.03591	37.348263	148.63835	-5.5976367	-75.209045	1.9592456	7187.581820487976
77	206.66055	10.015123	231.89323	188.11905	205.1918	7.8815494	216.7004	187.5699	46.741177	46.7	307999	75.14242	37.357655	151.875	-3.8300343	75.14221	37.357964	143.50655	-20.471785	-75.34462	1.9726164	7305.583577871323
78	203.18822	10.543662	228.33412	177.52441	205.82231	14.1651535	228.78777	189.9533	45.942528	47.0	311999	75.11358	37.310673	147.29855	-19.8591	75.11349	37.31064	147.85469	-35.355457	-75.327736	2.0511568	7424.16121339798
79	200.95128	10.359509	222.9204	176.05365	201.7441	11.08928	224.0091	189.23903	45.590908	46.3	315999	74.97494	37.251392	154.34642	-9.539416	74.974884	37.251328	146.86629	-14.73625	-75.11736	2.05092	7542.649531364441
80	203.43422	9.105158	231.6901	183.02304	203.47427	14.638719	231.6709	185.60039	46.103447	46.4	319999	75.05765	37.215122	149.03157	-10.969238	75.0575	37.214832	145.79898	-17.349838	-75.25683	2.0105648	7661.355510234833
81	205.60394	11.34035	240.4119	182.76236	207.88472	15.34455	230.57504	186.16364	46.534885	47.5	323999	75.14761	37.23716	142.95753	-15.777415	75.14744	37.237183	151.75398	-44.27511	-75.506195	1.9785478	7780.534963846207
82	208.0099	10.841025	234.8717	185.7821	198.05568	8.309981	208.03055	183.3608	46.870586	45.5	327999	74.9672	37.16828	141.39072	-15.866802	74.96698	37.16855	146.95334	-26.671259	-75.26858	2.084294	7899.704557657242
83	203.56978	10.676767	227.78679	177.15889	204.00041	8.099114	218.79735	189.40659	45.977013	46.8	331999	74.93749	37.132496	143.35297	-15.696101	74.93757	37.133163	145.40848	-45.145565	-75.12175	2.0539474	8018.9180653095245
84	203.20824	11.138219	228.83519	177.80806	199.7018	11.151114	217.23315	186.0414	46.04598	45.9	335999	74.81279	37.22755	149.84647	-102.555595	74.812775	37.227146	154.73975	-150.22153	-74.845085	2.1462674	8138.3900628089905
85	204.5658	11.839544	246.65053	181.8409	202.5644	13.369445	225.24477	181.29388	46.279068	46.4	339999	74.868	37.255707	148.14395	-108.37163	74.86825	37.25744	146.59732	-155.97157	-75.033485	2.3337715	8257.936347723007
86	203.81241	9.800276	227.25697	177.39105	201.74606	9.474935	214.33224	188.64882	46.068966	46.5	343999	74.850525	37.237564	143.03345	-51.292202	74.85029	37.238327	145.38295	-67.06545	-75.11984	2.1257799	8377.29937696457
87	203.13039	10.827151	228.2008	177.13765	201.9567	12.743835	219.97	184.26181	46.0	46.6	347999	74.873085	37.213215	143.65564	-51.187187	74.8729	37.214027	146.32585	-66.688385	-75.150795	1.9788096	8497.123569965363
88	203.19788	10.671028	231.56247	177.66837	200.89378	11.058682	220.58675	185.14018	46.0	46.2	351999	74.99552	37.220295	141.4985	-76.47083	74.99536	37.220356	144.64412	-50.62816	-75.152596	1.9729117	8616.960403442383
89	204.9785	12.369204	235.11583	177.9321	203.42563	15.983999	223.3778	180.47473	46.360466	46.3	355999	75.135376	37.247967	156.8569	-29.15688	75.13537	37.247913	161.40099	-15.134321	-75.30789	1.9887667	8737.403527736664
90	207.04703	10.977078	232.87134	180.88048	199.08832	11.344907	217.31898	181.45552	46.662792	46.0	359999	75.23269	37.320198	142.14198	-5.3927026	75.23255	37.320248	147.98126	-4.2353005	-75.441444	1.8981481	8857.567982435226
91	205.22559	10.407028	229.49895	180.48456	207.39714	7.175848	219.02411	195.12401	46.5	47.6	363999	75.34161	37.423294	155.0758	-12.584218	75.34161	37.423172	156.22655	-5.794827	-75.608025	1.8400421	8977.598768234253
92	205.66705	10.270877	232.56606	182.23709	204.42712	14.905182	235.93068	186.04004	46.59302	46.8	367999	75.410965	37.36254	143.0413	-10.258977	75.41089	37.362568	145.96704	-6.0607634	-75.578354	1.8467649	9098.02450299263
93	202.69989	11.705428	232.88618	179.22186	199.94693	13.511311	223.03261	180.38751	45.804596	46.0	371999	75.43239	37.441128	145.01796	-5.6233454	75.43211	37.441444	140.38696	-6.705268	-75.557106	1.8484651	9217.961099147797
94	204.20012	11.899108	238.51376	180.40488	194.14467	10.953901	209.86514	175.50893	46.264366	44.9	375999	75.33632	37.35845	142.83179	-3.157067	75.33611	37.358685	146.85818	-16.089624	-75.586464	1.858998	9338.027217626572
95	202.9296	11.600873	231.54207	181.21475	202.45047	13.235149	223.40489	183.52249	45.942528	46.4	379999	75.31066	37.379005	140.16177	-14.480864	75.31055	37.37929	144.36057	-21.341148	-75.44147	1.7773426	9458.419274568558
96	204.30093	10.532936	230.12202	176.17561	200.96037	11.867046	222.14906	185.01294	46.2907	45.9	383999	75.41884	37.41275	150.4847	-9.585893	75.418655	37.412273	148.80736	-24.308052	-75.42141	1.9149781	9578.854312896729
97	203.28798	11.868459	229.13123	178.9967	201.49928	12.540164	223.59225	183.80537	45.977013	46.3	387999	75.38164	37.414845	143.36751	-7.559842	75.3815	37.41537	139.87564	-10.091302	-75.469826	1.8047247	9698.790859222412
98	204.00932	10.558965	227.58392	167.1231	198.5616	10.191737	214.76997	181.57677	46.206898	45.4	391999	75.29085	37.451897	140.48088	-5.227262	75.290695	37.45216	139.70107	-7.6099796	-75.50983	1.761069	9819.286200523376
99	202.38945	10.886673	225.43365	178.86292	200.61917	8.865865	218.53741	189.84688	45.83908	46.1	395999	75.40032	37.41453	147.08438	-8.6824665	75.40013	37.414616	141.78635	-4.699563	-75.569	1.7976637	9939.494234800339
100	200.64078	9.989089	224.41405	180.42009	201.33592	11.564182	217.0194	184.75665	45.545456	46.1	399999	75.38056	37.476826	147.11743	-9.571553	75.38029	37.477043	141.70303	-1.0223863	-75.521416	1.7535325	10060.022199869156
101	204.02754	11.148068	230.70303	178.08734	198.91768	10.581322	214.97289	180.32457	46.057472	46.0	403999	75.51828	37.431652	142.63171	-9.437434	75.51821	37.431683	139.87712	-5.1256323	-75.67924	1.8224329	10180.346916437149
102	206.3718	10.528166	234.52199	186.66693	209.30571	9.831723	234.62392	194.46706	46.488373	48.0	407999	75.35837	37.393707	144.53836	-8.3301	75.35841	37.39348	143.59741	-6.296288	-75.53684	1.7673256	10300.856990814209
103	203.3204	10.749017	230.98767	180.80215	207.05339	11.455165	234.17862	191.06497	45.96552	47.3	411999	75.39174	37.39918	153.57613	-6.589819	75.3915	37.399223	159.33932	-3.3208046	-75.608734	1.7595551	10421.70200920105
104	205.53088	12.212858	232.43896	181.20334	200.29787	12.761673	221.81827	184.99854	46.465115	46.0	415999	75.45232	37.41335	140.76	-27.175018	75.45223	37.413673	140.19131	-7.4529467	-75.68547	1.7661049	10542.628242731094
105	202.0954	11.538466	234.38681	178.7661	200.13548	8.506404	222.25632	189.91183	45.647728	46.1	419999	75.45821	37.437244	140.28996	-10.074215	75.458046	37.437073	140.44998	-5.940015	-75.64061	1.7699739	10663.660910606384
106	204.33133	12.110533	232.06848	182.1693	198.16264	10.324719	211.4119	176.36238	46.220932	45.6	423999	75.4028	37.41224	140.24725	-8.436183	75.40262	37.412334	141.66208	-4.8425035	-75.543045	1.7390132	10784.186933517456
107	201.2203	10.309087	230.3849	180.5017	199.51167	8.161694	212.86142	183.40244	45.738636	46.0	427999	75.4081	37.515995	142.2125	-9.258154	75.40814	37.515892	143.13672	-17.383612	-75.560524	1.7224586	10904.99114871025
108	204.42305	11.263665	236.78969	181.28627	203.93031	15.313959	233.32916	179.30298	46.302326	46.6	431999	75.41984	37.49116	142.79012	-12.616208	75.41966	37.491474	140.68613	-6.267657	-75.559814	1.7115664	11026.615990161896
109	203.89302	11.458663	228.06538	179.83388	200.3974	9.84548	213.46637	181.79866	46.172413	46.0	435999	75.38589	37.43438	145.31161	-4.3517528	75.3857	37.434654	141.00673	-16.719994	-75.6103	1.6782421	11149.552020311356
110	203.6211	10.683491	228.07088	181.12743	202.788	16.081312	232.27757	176.8855	46.05814	46.1	439999	75.46222	37.471233	144.19733	-7.4031982	75.46198	37.471577	144.50719	-11.231301	-75.66153	1.720694	11278.258466959
111	201.20392	10.236741	233.11993	180.0661	196.40619	11.381464	221.62418	179.68709	45.647728	45.2	443999	75.41964	37.466507	140.47203	-19.337208	75.41967	37.46656	142.6938	-11.712157	-75.609955	1.740048	11426.859354019165
112	202.97751	10.509489	232.31296	178.97021	201.47498	10.082687	218.06177	185.85216	45.931034	46.0	447999	75.7084	37.43906	147.67747	-19.81578	75.70826	37.438965	148.45126	-34.393955	-75.86616	1.8205667	12068.178877830505
113	204.37529	10.262022	232.70396	183.25688	204.26877	10.5606785	221.9464	190.77626	46.252872	47.2	451999	75.36476	37.433502	143.67354	-10.403488	75.36464	37.43359	141.34622	-14.895836	-75.573265	1.7294532	12412.677646636963
